"","numberOfEpisodes","Finalization","originalTitle","startYear","endYear","runtimeMinutes","averageRating","numVotes","genre","GenderMale","GenderFeMale"
"1",50,0,"Hana no mahoutsukai Mary Bell",1992,0,24,7.1,13,"animation",0,5
"2",7,1,"La mujer de tu vida",1990,1990,60,6.1,39,"comedy",3,2
"3",31,1,"The Detectives",1993,1997,50,7.4,1015,"comedy",5,0
"4",18,1,"Fredrikssons fabrikk",1990,1993,30,6.5,212,"comedy",1,4
"5",40,0,"Fushigi no umi no Nadia",1990,0,25,8,1250,"adventure",4,1
"6",21,1,"Jolly Joker",1991,1992,45,5.7,18,"action",3,2
"7",13,1,"The Outsiders",1990,1990,60,7.1,399,"drama",4,0
"8",12,0,"Abenteuer Airport",1990,0,45,5.5,11,"drama",3,2
"9",17,1,"Against the Law",1990,1991,60,5.6,25,"comedy",2,2
"10",13,1,"American Chronicles",1990,1990,30,7.4,58,"documentary",1,0
"11",17,1,"American Dreamer",1990,1991,30,6.8,43,"comedy",2,2
"12",22,1,"Babes",1990,1991,30,6.8,60,"comedy",1,3
"13",15,0,"Bagdad Cafe",1990,0,30,7.2,264,"comedy",2,3
"14",21,1,"Bill & Ted's Excellent Adventures",1990,1991,30,6.5,1397,"adventure",5,0
"15",78,1,"The Adventures of Black Stallion",1990,1993,30,7.2,318,"adventure",3,2
"16",11,0,"Brewster Place",1990,0,30,6.6,58,"drama",1,4
"17",7,0,"Broken Badges",1990,0,60,7.5,43,"crime",3,1
"18",13,0,"Capital News",1990,0,60,6.1,16,"drama",4,0
"19",26,1,"The Adventures of Super Mario Bros. 3",1990,1990,11,7.3,637,"adventure",3,1
"20",33,0,"Carol & Company",1990,0,30,7.5,76,"comedy",2,3
"21",20,1,"Chancer",1990,1991,55,7.7,306,"crime",4,1
"22",13,0,"City",1990,0,30,5.8,28,"comedy",2,2
"23",13,0,"Claxon",1991,0,25,7.9,33,"crime",4,1
"24",58,1,"Col'n Carpenter",1990,1991,25,8,27,"comedy",2,3
"25",11,1,"Cop Rock",1990,1990,60,4.2,414,"drama",2,2
"26",66,1,"Counterstrike",1990,1993,60,7.7,154,"action",4,1
"27",13,1,"DEA",1990,1991,60,7.3,20,"drama",4,1
"28",19,1,"Down Home",1990,1991,30,5.4,14,"comedy",3,1
"29",21,0,"Dracula: The Series",1990,0,22,7.9,194,"drama",4,1
"30",13,0,"Elvis",1990,0,30,7.7,153,"biography",4,1
"31",38,1,"Embassy",1990,1992,50,6.7,20,"drama",3,1
"32",26,1,"Equal Justice",1990,1991,60,6.7,88,"drama",1,3
"33",98,1,"Evening Shade",1990,1994,30,7,945,"comedy",2,2
"34",22,1,"The Family Man",1990,1991,30,6.2,22,"comedy",4,0
"35",9,0,"A Family for Joe",1990,0,30,7.1,21,"comedy",3,1
"36",19,1,"The Fanelli Boys",1990,1991,30,7.8,38,"comedy",3,1
"37",13,1,"Ferris Bueller",1990,1991,30,5.4,459,"comedy",3,1
"38",20,0,"Les filles de Caleb",1990,0,60,7.7,246,"drama",2,3
"39",22,1,"The Flash",1990,1991,48,7.3,5363,"action",3,1
"40",22,1,"Gabriel's Fire",1990,1991,60,7.4,79,"drama",2,2
"41",36,1,"Get a Life",1990,1992,30,8.4,1957,"comedy",2,2
"42",24,0,"The Girl from Tomorrow",1991,0,23,8.1,859,"adventure",2,3
"43",19,1,"Going Places",1990,1991,30,7.1,43,"comedy",1,3
"44",13,1,"Good Grief",1990,1991,30,8.1,31,"comedy",3,1
"45",26,0,"Grand",1990,0,30,7.9,111,"comedy",2,2
"46",13,1,"Gravedale High",1990,1991,30,7,107,"animation",3,1
"47",14,1,"Haggard",1990,1992,30,6.5,47,"comedy",4,0
"48",13,1,"Harry Enfield's Television Programme",1990,1992,30,7.3,1174,"comedy",4,1
